STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
27,Tuần 2,Ngày 3,第2週 (3) – あなたのこと,～ 大 きさが,～ 大(おお) きさが,A い + さ A（な） だ + さ よ い → よさ 例 ：うれし さ 、 暑 さ 、 甘 さ 、まじめ さ,(Danh từ),"Dùng khi biến đổi tính từ thành danh từ Thường dùng với những từ miêu tả tính chất, cảm xúc","1. 大 きさは 違 うが、 君 と 同 じかばんを 持 っているよ。
   👉 Độ lớn khác nhau nhưng tôi có cặp giống cậu đấy
2. 子 どもに 命 の 大切 さを 教 えなければならない。
   👉 Phải dạy cho trẻ biết tầm quan trọng của sinh mệnh","1. 大(おお) きさは 違(ちが) うが、 君(きみ) と 同(おな) じかばんを 持(も) っているよ。
   👉 Độ lớn khác nhau nhưng tôi có cặp giống cậu đấy
2. 子(こ) どもに 命(いのち) の 大切(たいせつ) さを 教(おし) えなければならない。
   👉 Phải dạy cho trẻ biết tầm quan trọng của sinh mệnh",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-3.html
28,Tuần 2,Ngày 3,第2週 (3) – あなたのこと,～ 苦 しみは,～ 苦(くる) しみは,Aい + み A（な）だ + み 例 ： 悲 しみ、 弱 み、 痛 み、 真剣 み ダメ： 大 きみ うれしみ 暑 み まじめみ,(Danh từ),"Dùng khi biến đổi tính từ thành danh từ. Thường dùng với từ miêu tả trạng thái, tính chất tự nhiên","1. 戦争 が 終 わった 今 でも、この 国 の 苦 しみはまだ 続 いている。
   👉 Ngay cả bây giờ khi chiến trang đã kết thúc thì nỗi đau của quốc gia này vẫn tiếp diễn
2. 田中 さんの 強 みは、2 ヶ国 語 が 話 せるということです。
   👉 Điểm mạnh của Tanaka là có thể nói được 2 ngôn ngữ","1. 戦争(せんそう) が 終(お) わった 今(いま) でも、この 国(くに) の 苦(くる) しみはまだ 続(つづ) いている。
   👉 Ngay cả bây giờ khi chiến trang đã kết thúc thì nỗi đau của quốc gia này vẫn tiếp diễn
2. 田中(たなか) さんの 強(つよ) みは、2 ヶ国(かこく) 語(ご) が 話(はな) せるということです。
   👉 Điểm mạnh của Tanaka là có thể nói được 2 ngôn ngữ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-3.html
29,Tuần 2,Ngày 3,第2週 (3) – あなたのこと,～テストのこと,～テストのこと,Nの + こと V／A（い）／Nに + こと A だ な／N だ である + こと,Về việc…,"Dùng khi nói đến một chủ đề có liên quan đến hành động, sự việc nào đó Thường dùng với ý nghĩa lịch sự/ trang trọng","1. 来週 のテストのことで、 質問 があります。
   👉 Có câu hỏi về kỳ thi tuần sau
2. 田中 さんが 入院 したことを 知 っていますか。
   👉 Có biết việc Tanaka đã nhập viện không?","1. 来週(らいしゅう) のテストのことで、 質問(しつもん) があります。
   👉 Có câu hỏi về kỳ thi tuần sau
2. 田中(たなか) さんが 入院(にゅういん) したことを 知(し) っていますか。
   👉 Có biết việc Tanaka đã nhập viện không?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-3.html
30,Tuần 2,Ngày 3,第2週 (3) – あなたのこと,～ 電話 するのを 忘 れた,～ 電話(でんわ) するのを 忘(わす) れた,V／Aい／N + の N だ な／A だ な + の 例 ： 見 ているのが いいのを 選 んでください 暑 いのはきらいだ 元気 なのがいちばんだ,Việc (danh từ),"Dùng để biến đổi danh từ, động từ, tính từ, cụm câu thành cụm danh từ Dùng trong trường hợp thân mật, ngắn gọn","1. 田中 さんに 電話 するのをすっかり 忘 れていました。
   👉 Tôi đã quên khuấy việc điện thoại cho Tanaka
2. 日曜日 に 混 んだところへ 行 くのは、あまり 好 きではありません。
   👉 Đi đến những nơi đông đúc vào Chủ nhật thì tôi không thích lắm","1. 田中(たなか) さんに 電話(でんわ) するのをすっかり 忘(わす) れていました。
   👉 Tôi đã quên khuấy việc điện thoại cho Tanaka
2. 日曜日(にちようび) に 混(こ) んだところへ 行(い) くのは、あまり 好(す) きではありません。
   👉 Đi đến những nơi đông đúc vào Chủ nhật thì tôi không thích lắm",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-3.html
31,Tuần 2,Ngày 4,第2週 (4) – 省エネというのは,～ 木村 さんという 人,～ 木村(きむら) さんという 人(ひと),Nという + N Nという + もの Nという + こと といった：Nêu lên ví dụ,"Gọi là, tên là","Dùng khi nhắc đến sự vật, con người, sự việc mà bản thân mình/ đối phương không biết. Dùng gọi tên hoặc định nghĩa","1. さっき、 木村 さんという 人 から 電話 がありましたよ。
   👉 Mới nãy có điện thoại từ người gọi là Kimura đấy
2. これは、 日本 の 楽器 で「 尺八 」というものです。
   👉 Cái này là thứ mà trong nhạc cụ của Nhật gọi là sáo
3. お 金 はいりません。 無料 ということです。
   👉 Không cần tiền. Nghĩa là không mất phí
4. この 学校 では、テニス、サッカー、 野球 といったスポーツが 盛 んです。
   👉 Ở trường này, thịnh hình những môn thể thao như là tennis, bóng đá, bóng chày,..","1. さっき、 木村(きむら) さんという 人(ひと) から 電話(でんわ) がありましたよ。
   👉 Mới nãy có điện thoại từ người gọi là Kimura đấy
2. これは、 日本(にっぽん) の 楽器(がっき) で「 尺八(しゃくはち) 」というものです。
   👉 Cái này là thứ mà trong nhạc cụ của Nhật gọi là sáo
3. お 金(かね) はいりません。 無料(むりょう) ということです。
   👉 Không cần tiền. Nghĩa là không mất phí
4. この 学校(がっこう) では、テニス、サッカー、 野球(やきゅう) といったスポーツが 盛(さか) んです。
   👉 Ở trường này, thịnh hình những môn thể thao như là tennis, bóng đá, bóng chày,..",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-4.html
32,Tuần 2,Ngày 4,第2週 (4) – 省エネというのは,～「デジカメ」というのは・・・,～「デジカメ」というのは・・・,N + というのは N + っていうのは NというのはN’のことだ。 NといのうはN’という 意味 です。,"Cái mà gọi là, cái mà tên là","Dùng khi muốn định nghĩa, giải thích về sự vật sự việc (với cụm từ muốn định nghĩa là chủ ngữ)","1. 「デジカメ」というのは、デジタルカメラを 短 くした 言 い 方 です。
   👉 Cái gọi là ""Digicame"" là cách nói rút gọn của máy ảnh kỹ thuật số
2. 「 電車 で「カクテイ」っていうのは 何 のことですか。」
   👉 Ở trên xe điện có chữ là ""Kakutei"" là gì vậy?
3. 「 各駅 に 停車 する 電車 のことです。」
   👉 Là xe điện dừng ở mỗi ga","1. 「デジカメ」というのは、デジタルカメラを 短(みじか) くした 言(い) い 方(かた) です。
   👉 Cái gọi là ""Digicame"" là cách nói rút gọn của máy ảnh kỹ thuật số
2. 「 電車(でんしゃ) で「カクテイ」っていうのは 何(なに) のことですか。」
   👉 Ở trên xe điện có chữ là ""Kakutei"" là gì vậy?
3. 「 各駅(かくえき) に 停車(ていしゃ) する 電車(でんしゃ) のことです。」
   👉 Là xe điện dừng ở mỗi ga",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-4.html
33,Tuần 2,Ngày 4,第2週 (4) – 省エネというのは,～ 帰国 するというのは 本当 ですか,～ 帰国(きこく) するというのは 本当(ほんとう) ですか,文 （ 普通 形 ） + というの 文 （ 普通 形 ） + っていうの 文 （ 普通 形 ） + ということ 文 （ 普通 形 ） + っていうこと,Về việc…,"Dùng khi muốn biến một câu văn thành cụm danh từ. Dùng khi định nghĩa, giải thích hoặc nhắc đến một sự việc nào đó.","1. リンさんが 帰国 するということを 聞 いて 驚 きました。
   👉 Tôi đã ngạc nhiên khi nghe là Lin sắp về nước
2. こんなによく 遅刻 をするというのは、 問題 ですよ。
   👉 Việc trễn như thế này là vấn đề đấy
3. 田中 さんが 医者 だというのを 知 らなかった。
   👉 Tôi đã không biết việc Tanaka là bác sĩ","1. リンさんが 帰国(きこく) するということを 聞(き) いて 驚(おどろ) きました。
   👉 Tôi đã ngạc nhiên khi nghe là Lin sắp về nước
2. こんなによく 遅刻(ちこく) をするというのは、 問題(もんだい) ですよ。
   👉 Việc trễn như thế này là vấn đề đấy
3. 田中(たなか) さんが 医者(いしゃ) だというのを 知(し) らなかった。
   👉 Tôi đã không biết việc Tanaka là bác sĩ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-4.html
34,Tuần 2,Ngày 5,第2週 (5) – 美人というより,～ 走 るというより,～ 走(はし) るというより,N／Aな／V／Aい（ 普通 形 ）と + いうより／いうか,Thay vì nói là….( thì đúng hơn là….),Dùng khi muốn so sánh mang tính chất cường điệu hơn bình thường. (Mức độ thấp/ cao hơn) Thường dùng trong câu cảm thán mang nghĩa tiêu cực,"1. 前 の 車 は 遅 すぎて、 走 るというよりはっているようだ。
   👉 Chiếc xe phía trước quá chậm, thay vì nói là chạy thì giống như là đang bò hơn
2. 今日 は 涼 しいというより 寒 いくらいだった。
   👉 Hôm nay thì lạnh đúng hơn là mát
3. あの 学生 はできないというか、やる 気 がないのでしょう。
   👉 Học sinh đó thay vì nói là không làm được thì có lẽ đúng hơn là không có tinh thần làm","1. 前(まえ) の 車(くるま) は 遅(おそ) すぎて、 走(はし) るというよりはっているようだ。
   👉 Chiếc xe phía trước quá chậm, thay vì nói là chạy thì giống như là đang bò hơn
2. 今日(きょう) は 涼(すず) しいというより 寒(さむ) いくらいだった。
   👉 Hôm nay thì lạnh đúng hơn là mát
3. あの 学生(がくせい) はできないというか、やる 気(き) がないのでしょう。
   👉 Học sinh đó thay vì nói là không làm được thì có lẽ đúng hơn là không có tinh thần làm",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-5.html
35,Tuần 2,Ngày 5,第2週 (5) – 美人というより,～ 京都 というと,～ 京都(きょうと) というと,N／Aな／V／Aい（ 普通 形）と + いうと いえば いったら,Khi nhắc đến/ Nếu nói đến,"Dùng khi muốn nói đến một điểm nổi bật nào đó của sự vật, sự việc","1. 京都 というと、お 寺 をイメージします。
   👉 Khi nói đến Kyoto thì sẽ hình dung ra chùa chiền
2. 日本 の 食 べ 物 といえば、おすしがいちばん 有名 だと 思 います。
   👉 Nếu nói đến thức ăn của thì tôi nghĩ sushi là nổi tiếng nhất
3. 夏 の 果物 といったら、やっぱりスイカだね。
   👉 Nếu nói đến trái cây mùa hè thì quả là dưa hấu nhỉ","1. 京都(きょうと) というと、お 寺(てら) をイメージします。
   👉 Khi nói đến Kyoto thì sẽ hình dung ra chùa chiền
2. 日本(にっぽん) の 食(た) べ 物(もの) といえば、おすしがいちばん 有名(ゆうめい) だと 思(おも) います。
   👉 Nếu nói đến thức ăn của thì tôi nghĩ sushi là nổi tiếng nhất
3. 夏(なつ) の 果物(くだもの) といったら、やっぱりスイカだね。
   👉 Nếu nói đến trái cây mùa hè thì quả là dưa hấu nhỉ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-5.html
36,Tuần 2,Ngày 5,第2週 (5) – 美人というより,～ 旅行 といっても,～ 旅行(りょこう) といっても,N／Aな／V／Aい（ 普通 形 ）と いっても,Dẫu nói là….,"Dùng khi muốn đính chính một vấn đề, sự việc có mức độ thấp hơn so với tên gọi của nó Hoặc dùng khi muốn so sánh mức độ cao thấp với 1 sự việc khác","1. 週末 は 旅行 しました。 旅行 といっても、 近 くの 温泉 に 行 っただけですが。
   👉 Cuối tuần tôi đã đi du lịch. Dẫu nói là du lịch thì cũng chỉ là đi đến suối nước nóng gần đây thôi
2. 今週 は 忙 しいといっても 来週 ほどじゃない。
   👉 Tuần này dù nói là bận nhưng cũng không bằng tuần sau","1. 週末(しゅうまつ) は 旅行(りょこう) しました。 旅行(りょこう) といっても、 近(ちか) くの 温泉(おんせん) に 行(い) っただけですが。
   👉 Cuối tuần tôi đã đi du lịch. Dẫu nói là du lịch thì cũng chỉ là đi đến suối nước nóng gần đây thôi
2. 今週(こんしゅう) は 忙(いそが) しいといっても 来週(らいしゅう) ほどじゃない。
   👉 Tuần này dù nói là bận nhưng cũng không bằng tuần sau",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-5.html
37,Tuần 2,Ngày 6,第2週 (6) – 食べてごらん,～ 聞 いてごらん,～ 聞(き) いてごらん,Vてごらん（なさい）,Thử làm gì (Hãy),Dùng với người ở bậc thấp hơn,"1. わからなかったら、 先生 に 聞 いてごらん。
   👉 Nếu không hiểu thì hãy hỏi thầy thử xem
2. もう 一度 やってごらんなさい。
   👉 Hãy thử làm lại lần nữa đi","1. わからなかったら、 先生(せんせい) に 聞(き) いてごらん。
   👉 Nếu không hiểu thì hãy hỏi thầy thử xem
2. もう 一度(いちど) やってごらんなさい。
   👉 Hãy thử làm lại lần nữa đi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-6.html
38,Tuần 2,Ngày 6,第2週 (6) – 食べてごらん,～ 来 るように,～ 来(く) るように,Vるよう（に） Vないよう（に） ＋ 言う 頼む,"Nói (ai), nhờ (ai) hãy làm gì/ không làm gì",Dùng khi muốn nhờ người khác truyền đạt lại mệnh lệnh của mình với người thứ ba Hoặc dùng khi diễn tả lại một mệnh lệnh được truyền đạt bởi người khác,"1. 田中 さんに、 私 の 部屋 に 来 るよう（に） 言 ってください。
   👉 Hãy nói với Tanaka đến phòng của tôi
2. 妻 に、 家 ではたぼこを 吸 わないよう（に） 言 われています。
   👉 Tôi đã bị vợ nhắc là đừng hút thuốc trong nhà","1. 田中(たなか) さんに、 私(わたし) の 部屋(へや) に 来(く) るよう（に） 言(い) ってください。
   👉 Hãy nói với Tanaka đến phòng của tôi
2. 妻(つま) に、 家(いえ) ではたぼこを 吸(す) わないよう（に） 言(い) われています。
   👉 Tôi đã bị vợ nhắc là đừng hút thuốc trong nhà",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-6.html
39,Tuần 2,Ngày 6,第2週 (6) – 食べてごらん,～ 飲 むなわれた,～ 飲(の) むなわれた,V（命令形） Vるなと ＋ 言われる 注意される しかられる 怒られる,Bị nói/ Bị nhắc nhở/ Bị mắng/ Bị tức giận là hãy làm/ không làm việc gì,Dùng khi tường thuật lại một mệnh lệnh người khác giao cho mình,"1. 医者 に 酒 を 飲 むなと 言 われた。
   👉 Tôi bị bác sĩ nói là không được uống rượu
2. 先生 に、もっと 勉強 しろと 言 われた。
   👉 Tôi bị giáo viên nhắc là hãy học nhiều hơn nữa
3. 父 に、もっと 早 く 帰 れと 注意 された。
   👉 Tôi bị bố nhắc nhở là hãy về sớm hơn","1. 医者(いしゃ) に 酒(さけ) を 飲(の) むなと 言(い) われた。
   👉 Tôi bị bác sĩ nói là không được uống rượu
2. 先生(せんせい) に、もっと 勉強(べんきょう) しろと 言(い) われた。
   👉 Tôi bị giáo viên nhắc là hãy học nhiều hơn nữa
3. 父(ちち) に、もっと 早(はや) く 帰(かえ) れと 注意(ちゅうい) された。
   👉 Tôi bị bố nhắc nhở là hãy về sớm hơn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-6.html
40,Tuần 2,Ngày 6,第2週 (6) – 食べてごらん,～ 教 えてくれとれた,～ 教(おし) えてくれとれた,Vてくれと Vないでくれと ＋ 頼まれる 言われる,"Bị nhắc nhở, bị nói, được nói","Dùng để biến đổi danh từ, động từ, tính từ, cụm câu thành cụm danh từ Dùng trong trường hợp thân mật, ngắn gọn","1. 友達 に、 田中 さんの 電話 番号 を 教 えてくれと 頼 まれた。
   👉 Tôi được bạn bè nhờ là hãy chỉ cho số điện thoại của Tanaka
2. 大家 に、 玄関 の 前 に 自転車 を 置 かないでくれと 言 われた。
   👉 Tôi bị chủ nhà nhắc nhở là đừng để xe đạp ngay trước lối đi.","1. 友達(ともだち) に、 田中(たなか) さんの 電話(でんわ) 番号(ばんごう) を 教(おし) えてくれと 頼(たの) まれた。
   👉 Tôi được bạn bè nhờ là hãy chỉ cho số điện thoại của Tanaka
2. 大家(おおや) に、 玄関(げんかん) の 前(まえ) に 自転車(じてんしゃ) を 置(お) かないでくれと 言(い) われた。
   👉 Tôi bị chủ nhà nhắc nhở là đừng để xe đạp ngay trước lối đi.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-6.html
41,Tuần 3,Ngày 1,第3週 (1) – いくら安くても,～Vても,～Vても,Vて も Aくても Aな／Nでも,"Dù là, cho dẫu là",Dùng để nói đến sự việctrở nên ngược lại với điều đáng lẽ diễn ra.,"1. 調 べてもわからなかったので、 先生 に 聞 いた。
   👉 Cho dù đã tra nhưng vẫn không hiểu nên đã hỏi thầy
2. 必要 なので、 高 くても 買 います。
   👉 Vì cần nên dù đắt cũng sẽ mua
3. 「すみません。 黒 は 売 り 切 れました。」「 黒 じゃなくてもかまいませんよ。」
   👉 “Xin lỗi, màu đen đã bán hết rồi” “Không phải màu đen cũng không sao”","1. 調(しら) べてもわからなかったので、 先生(せんせい) に 聞(き) いた。
   👉 Cho dù đã tra nhưng vẫn không hiểu nên đã hỏi thầy
2. 必要(ひつよう) なので、 高(たか) くても 買(か) います。
   👉 Vì cần nên dù đắt cũng sẽ mua
3. 「すみません。 黒(くろ) は 売(う) り 切(き) れました。」「 黒(くろ) じゃなくてもかまいませんよ。」
   👉 “Xin lỗi, màu đen đã bán hết rồi” “Không phải màu đen cũng không sao”",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-1.html
42,Tuần 3,Ngày 1,第3週 (1) – いくら安くても,,,どんなに いくら ＋ Vても Aくても A（な）でも Nでも,Cho dẫu có như thế nào/ Cho dẫu là bao nhiêu đi nữa,"Dùng khi muốn cường điệu hóa sự việc, nhấn mạnh sự việc không thể/có thể ở mức độ cao","1. ギターを 習 い 始 めたが、どんなに 練習 しても 全然 うまくならない。
   👉 Tôi đã bắt đầu học ghita nhưng dù có luyện tập thế nào đi nữa thì hoàn toàn cũng không trở nên giỏi được
2. 私 は、いくらお 酒 を 飲 んでも 顔色 が 変 わらない。
   👉 Tôi cho dù có uống bao nhiêu rượu đi nữa thì sắc mặt cũng không đổi
3. 私 はどんなに 暑 くても 寝 るときはクーラーを 消 して 寝 ます。
   👉 Tôi cho dù là nóng cỡ nào thì khi đi ngủ cũng sẽ tắt máy lạnh mà ngủ","1. ギターを 習(なら) い 始(はじ) めたが、どんなに 練習(れんしゅう) しても 全然(ぜんぜん) うまくならない。
   👉 Tôi đã bắt đầu học ghita nhưng dù có luyện tập thế nào đi nữa thì hoàn toàn cũng không trở nên giỏi được
2. 私(わたし) は、いくらお 酒(さけ) を 飲(の) んでも 顔色(かおいろ) が 変(か) わらない。
   👉 Tôi cho dù có uống bao nhiêu rượu đi nữa thì sắc mặt cũng không đổi
3. 私(わたし) はどんなに 暑(あつ) くても 寝(ね) るときはクーラーを 消(け) して 寝(ね) ます。
   👉 Tôi cho dù là nóng cỡ nào thì khi đi ngủ cũng sẽ tắt máy lạnh mà ngủ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-1.html
43,Tuần 3,Ngày 1,第3週 (1) – いくら安くても,～ 辞書 を 使 わずに,～ 辞書(じしょ) を 使(つか) わずに,V ない + ずに しない → せずに,Không làm gì (mà làm),"Dùng trong trường hợp chúng ta bỏ qua 1 hành động mà tự nhiên, bình thường sẽ làm","1. 辞書 を 使 わずに 書 いたので、 自信 がありません。
   👉 Vì đã viết ra mà không dùng từ điển nên không có tự tin
2. 昨夜 、 歯 をみがかずに 寝 てしまった。
   👉 Tối qua đã không đánh răng mà đi ngủ mất tiêu","1. 辞書(じしょ) を 使(つか) わずに 書(か) いたので、 自信(じしん) がありません。
   👉 Vì đã viết ra mà không dùng từ điển nên không có tự tin
2. 昨夜(さくや) 、 歯(は) をみがかずに 寝(ね) てしまった。
   👉 Tối qua đã không đánh răng mà đi ngủ mất tiêu",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-1.html
44,Tuần 3,Ngày 2,第3週 (2) – それにしては,～ 日本 代表 として,～ 日本(にっぽん) 代表(だいひょう) として,Nと ＋ して しては しても してのN,Với tư cách/vị trí là/ Với tư cách/vị trí là…thì/ Cho dù là với tư cách/vị trí là…,"Dùng trong trường hợp nói đến một sự vật, con người là đại biểu hoặc là một cá thể thuộc một nhóm chung nào đó","1. 彼 は 外国人 だが、 日本 代表 として 試合 に 出 る。
   👉 Anh ấy là người nước ngoài nhưng tham dự trận đấu với tư cách là đại biểu Nhật Bản
2. 彼女 は 女性 としても 女優 としても 最高 だが、 妻 としてはどうだろう。
   👉 Cô ấy cho dù là phụ nữ cho dù là diễn viên thì cũng đều tuyệt vời nhưng với tư cách là người vợ thì sao nhỉ?","1. 彼(かれ) は 外国人(がいこくじん) だが、 日本(にっぽん) 代表(だいひょう) として 試合(しあい) に 出(で) る。
   👉 Anh ấy là người nước ngoài nhưng tham dự trận đấu với tư cách là đại biểu Nhật Bản
2. 彼女(かのじょ) は 女性(じょせい) としても 女優(じょゆう) としても 最高(さいこう) だが、 妻(つま) としてはどうだろう。
   👉 Cô ấy cho dù là phụ nữ cho dù là diễn viên thì cũng đều tuyệt vời nhưng với tư cách là người vợ thì sao nhỉ?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-2.html
45,Tuần 3,Ngày 2,第3週 (2) – それにしては,～ 外国人 にしては,～ 外国人(がいこくじん) にしては,N/AいAな/N（普通形）＋に A（な）だ＋に Nだ＋に ＋ しては それにしては,Cho dù là/ Dù là/ thế mà lại,"Dùng khi muốn nói đến một sự việc khác biệt với lẽ thường. Dùng khi muốn nói lên cảm giác ngạc nhiên, bất ngờ, ngoài dự tính","1. 外国人 にしては 日本語 が 上手 だ。
   👉 Dù là người nước ngoài nhưng lại rất giỏi tiếng Nhật
2. 初 めてにしては、よくできました。
   👉 Dù là lần đầu nhưng đã làm tốt
3. 洗 ったの？それにしてはきれいじゃないね。
   👉 Đã rửa rồi à? Dù vậy vẫn chưa sạch đấy","1. 外国人(がいこくじん) にしては 日本語(にほんご) が 上手(じょうず) だ。
   👉 Dù là người nước ngoài nhưng lại rất giỏi tiếng Nhật
2. 初(はじ) めてにしては、よくできました。
   👉 Dù là lần đầu nhưng đã làm tốt
3. 洗(あら) ったの？それにしてはきれいじゃないね。
   👉 Đã rửa rồi à? Dù vậy vẫn chưa sạch đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-2.html
46,Tuần 3,Ngày 2,第3週 (2) – それにしては,～100 円 にしても,～100 円(えん) にしても,N/Aい/Aな/N（普通形）＋に A（な）だ＋に Nだ＋に ＋ しても それにしても,Thậm chí là…cũng/ Dẫu là vậy thì…,Dùng để cường điệu hóa sự việc rằng dù ở mức độ thấp/cao hơn thì cũng không chấp nhận được,"1. これは、100 円 にしても、 高 いと 思 う。
   👉 Cái này thậm chí là 100 yên thì cũng là mắc
2. 遅 れるとは 聞 いていたけど、それにしても 田中 さん、 遅 いね。
   👉 Việc trễ thì tôi đã nghe rồi nhưng mà thậm chí là vậy thì Tanaka cũng trễ nhỉ","1. これは、100 円(えん) にしても、 高(たか) いと 思(おも) う。
   👉 Cái này thậm chí là 100 yên thì cũng là mắc
2. 遅(おく) れるとは 聞(き) いていたけど、それにしても 田中(たなか) さん、 遅(おそ) いね。
   👉 Việc trễ thì tôi đã nghe rồi nhưng mà thậm chí là vậy thì Tanaka cũng trễ nhỉ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-2.html
47,Tuần 3,Ngày 2,第3週 (2) – それにしては,～ 本当 だとしたら,～ 本当(ほんとう) だとしたら,N／Aい／Aな／N（ 普通 形 ）+ と + したら／すれば,"Nếu là, nếu…thì",Sử dụng cho các câu điều kiện,"1. その 話 が 本当 だとしたら、うれしいです。
   👉 Nếu câu chuyện đó là thật thì tôi vui lắm
2. 飛行機 で 行 くとしたら、いくらぐらいかかりますか。
   👉 Nếu đi bằng máy bay thì mất bao nhiêu?","1. その 話(はなし) が 本当(ほんとう) だとしたら、うれしいです。
   👉 Nếu câu chuyện đó là thật thì tôi vui lắm
2. 飛行機(ひこうき) で 行(い) くとしたら、いくらぐらいかかりますか。
   👉 Nếu đi bằng máy bay thì mất bao nhiêu?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-2.html
48,Tuần 3,Ngày 3,第3週 (3) – 勉強するつもりでしたが,～ 行 くつもりでした,～ 行(い) くつもりでした,Vる／Vない + つもりだった,Đã dự định làm gì/ không làm gì,"Dùng để nói đến một dự định, ý định thực hiện một hành động nào đó trong quá khứ nhưng sau đó lại không thực hiện như vậy","1. 昨日 は 買 い 物 に 行 きつもりでしたが、 頭 が 痛 かったのでずっと 家 にいました。
   👉 Ngày hôm qua đã định đi mua sắm như vì đau đầu nên cứ ở nhà suốt luôn
2. お 菓子 を 食 べないつもりでしたが、つい 食 べてしまいました。
   👉 Đã định không ăn kẹo nhưng mà cuối cùng đã ăn mất tiêu","1. 昨日(きのう) は 買(か) い 物(もの) に 行(い) きつもりでしたが、 頭(あたま) が 痛(いた) かったのでずっと 家(いえ) にいました。
   👉 Ngày hôm qua đã định đi mua sắm như vì đau đầu nên cứ ở nhà suốt luôn
2. お 菓子(かし) を 食(た) べないつもりでしたが、つい 食(た) べてしまいました。
   👉 Đã định không ăn kẹo nhưng mà cuối cùng đã ăn mất tiêu",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-3.html
49,Tuần 3,Ngày 3,第3週 (3) – 勉強するつもりでしたが,～ 家 にいないはずだ,～ 家(いえ) にいないはずだ,V／A／N（ 普通 形） A だ な N だ の ＋ はずだ はずがない,Chắn chắn là/ chắn chắn không,Dùng thể hiện ý khẳng định của người nói dựa trên một căn cứ nào đó. Riêng cụm “はずがない” mang ý nghĩa phủ định mạnh hơn.,"1. 田中 さんは 今 、 旅行中 だから、 家 にいないはずだ。
   👉 Tanaka bây giờ đang đi du lịch nên chắc không có ở nhà
2. まじめな 田中 さんが、 無断 で 休 むはずがない。
   👉 Người chăm chỉ Tanaka chắc chắn không nghỉ đột xuất không báo trước","1. 田中(たなか) さんは 今(いま) 、 旅行中(りょこうちゅう) だから、 家(いえ) にいないはずだ。
   👉 Tanaka bây giờ đang đi du lịch nên chắc không có ở nhà
2. まじめな 田中(たなか) さんが、 無断(むだん) で 休(やす) むはずがない。
   👉 Người chăm chỉ Tanaka chắc chắn không nghỉ đột xuất không báo trước",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-3.html
50,Tuần 3,Ngày 3,第3週 (3) – 勉強するつもりでしたが,～ 守 るべきだ,～ 守(まも) るべきだ,Vる A（な）である A（い）くある （すべき ＝ するべきだ） べきだ べきではない,"Phải, nên làm gì/ không làm gì","Dùng để thể hiện việc ở một tình huống nào đó thì phải (mang ý bắt buộc) thực hiện /không thực hành động nào đó. Nếu không làm được thì không thể chấp nhận được ở vị trí đó, tình huống đó.","1. 約束 は 守 るべきだ。
   👉 Lời hứa là phải giữ
2. おもちゃは、まず 安全 であるべきだ。
   👉 Đồ chơi trước hết phải an toàn","1. 約束(やくそく) は 守(まも) るべきだ。
   👉 Lời hứa là phải giữ
2. おもちゃは、まず 安全(あんぜん) であるべきだ。
   👉 Đồ chơi trước hết phải an toàn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-3-3.html
